StrategyNo,EntryTime,Variant,Direction,Checkpoint,IndependentMFE,IndependentR,Status
18,2015-02-11 09:59:00,NP50,Short,2015-02-11 19:42:00,0.16999999999997878,-0.597777778,PASS
18,2026-09-08 09:59:00,NP50,Short,2026-09-08 19:42:00,0.13999999999997964,0.072222222,PASS
18,2015-02-11 09:59:00,NP75,Short,2015-02-12 00:34:00,,-1.0,PASS
18,2026-05-19 09:59:00,NP75,Short,2026-05-20 00:34:00,,-1.0,PASS
27,2015-02-11 10:00:00,NP50,Short,2015-02-11 12:55:00,0.23333333333330764,-0.348333333,PASS
27,2026-07-15 10:00:00,NP50,Short,2026-07-15 12:55:00,0.06999999999997748,-0.038333333,PASS
27,2015-02-11 10:00:00,NP75,Short,2015-02-11 14:22:00,0.23333333333330764,-0.146666667,PASS
27,2026-07-15 10:00:00,NP75,Short,2026-07-15 14:22:00,0.06999999999997748,-0.165,PASS
18,2015-02-16 09:59:00,NP75,Short,2015-02-17 00:34:00,0.2266666666666713,-0.114444444,PASS
18,2026-09-01 09:59:00,NP75,Short,2026-09-02 00:34:00,0.22111111111107934,0.01,PASS
20,2015-02-16 10:01:00,NP50,Short,2015-02-16 13:00:00,0.17799999999996707,-0.008,PASS
20,2026-09-08 10:01:00,NP50,Short,2026-09-08 13:00:00,0.0,-0.068,PASS
19,2015-02-19 20:56:00,NP50,Long,2015-02-20 03:28:00,0.14111111111109803,-0.281111111,PASS
19,2026-09-02 20:56:00,NP50,Long,2026-09-03 03:28:00,0.02999999999999916,-0.45,PASS
19,2015-02-19 20:56:00,NP75,Long,2015-02-20 06:44:00,0.14111111111109803,-0.422222222,PASS
19,2026-09-02 20:56:00,NP75,Long,2026-09-03 06:44:00,0.02999999999999916,-0.46,PASS
20,2015-02-23 10:01:00,NP75,Short,2015-02-23 14:30:00,0.24199999999998667,-0.088,PASS
20,2026-09-08 10:01:00,NP75,Short,2026-09-08 14:30:00,0.05199999999998539,-0.114,PASS
18,2015-04-13 09:59:00,NP50,Short,2015-04-13 19:42:00,,-1.0,PASS
18,2026-03-23 09:59:00,NP50,Short,2026-03-23 19:42:00,,-1.0,PASS
