Variant,StrategyNo,Strategy,BaselineTotalR,DeltaTotalR,Improved,Harmed,Unchanged,SampleStatus,Trades,Weeks,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,TriggerRate,SLRate,TPRate,TimeExitRate,DynamicSLRate,WorstDayR,WorstWeekR,MaxDDR
R0,23,23_GA_F_2,19.614444442,0.0,0,0,434,OK,434,434,19.614444442,0.04519457244700461,1.306273638852968,0.5069124423963134,0.38025757577272723,-0.3006677099906103,0.0,0.03456221198156682,0.0069124423963133645,0.9585253456221198,0.0,-1.0,-1.0,9.660000002
R0,24,24_GA_D_1,24.537777772000002,0.0,0,0,434,OK,434,434,24.537777772000002,0.0565386584608295,1.3198679044998782,0.5576036866359447,0.41838842973140494,-0.39954282407812497,0.0,0.06451612903225806,0.013824884792626729,0.9216589861751152,0.0,-1.0,-1.0,4.628888887999988
R0,25,25_AU_China_Demand,49.6725,0.0,0,0,1022,OK,1022,335,49.6725,0.048603228962818004,1.2887600279037323,0.538160469667319,0.40307727272727273,-0.3691416309012875,0.0,0.046966731898238745,0.07436399217221135,0.8786692759295499,0.0,-1.0,-2.415,8.079999999999998
R0,26,26_AJ_China_Demand,59.173333336,0.0,0,0,514,OK,514,163,59.173333336,0.11512321660700389,1.593236198405849,0.5836575875486382,0.5297333333366667,-0.46829420969483565,0.0,0.0914396887159533,0.033073929961089495,0.8754863813229572,0.0,-1.0,-3.0,4.171111107999998
R0,27,27_EA_China_Demand,54.554999998,0.0,0,0,583,OK,583,183,54.554999998,0.09357632932761578,1.5101379256353447,0.5797598627787307,0.47780078895266276,-0.4382855191311476,0.0,0.08576329331046312,0.1320754716981132,0.7821612349914236,0.0,-1.0,-2.666666667,5.516666667000006
R0,28,28_GA_China_Demand,44.565333313,0.0,0,0,580,OK,580,181,44.565333313,0.07683678157413792,1.413612176540003,0.5517241379310345,0.475974999921875,-0.41601029599227796,0.0,0.08448275862068966,0.1396551724137931,0.7758620689655172,0.0,-1.0,-3.066666667,5.411999999999999
R1_BE50,1,1_EJ_Log1,129.86285713499998,-36.24999999499998,61,95,696,OK,852,544,93.61285714,0.10987424546948357,1.4916125256671666,0.465962441314554,0.7154480028841309,-0.6368561873076923,0.5234741784037559,0.1572769953051643,0.004694835680751174,0.6549295774647887,0.18309859154929578,-1.0,-2.0,9.118571429
R1_BE50,2,2_EJ_NightBlitz_20,112.95111115899999,-19.868888894999998,89,109,831,OK,1029,594,93.082222264,0.09045891376482021,1.3725275704249067,0.45481049562682213,0.7327967712222223,-0.6921514312132964,0.5286686103012633,0.18658892128279883,0.09620991253644315,0.5238095238095238,0.1933916423712342,-1.0,-2.0,14.902222223999997
R1_BE50,3,3_EJ_NightBlitz_21,69.061333309,-7.373333330000008,20,28,981,OK,1029,595,61.687999979,0.05994946548007774,1.390994599674099,0.5403304178814383,0.39471223017446044,-0.37564761904285715,0.29737609329446063,0.05442176870748299,0.08649173955296405,0.8114674441205053,0.047619047619047616,-1.0,-2.0,5.412000002999999
R1_BE50,4,4_GJ_Port_Log1,39.222307666999995,-0.9492307679999996,2,6,948,OK,956,498,38.273076898999996,0.040034599266736394,1.4095095430035063,0.5585774058577406,0.24669259576029964,-0.22684652727427182,0.12656903765690378,0.0198744769874477,0.06799163179916318,0.9037656903765691,0.008368200836820083,-1.0,-2.0,3.1753846159999988
R1_BE50,5,5_GJ_Port_Log2,104.85444444800001,4.878888880999995,131,130,991,OK,1252,586,109.733333329,0.08764643237140575,1.3434198721582187,0.39696485623003197,0.8637111558189136,-0.6481361280182556,0.5295527156549521,0.17731629392971246,0.0,0.6142172523961661,0.2084664536741214,-1.0,-2.342222222,8.404444444000001
R1_BE50,6,6_GJ_Old_Mon,82.97999999999999,-14.815999999999988,58,68,365,OK,491,491,68.164,0.13882688391038697,1.4712861429539388,0.384928716904277,1.125915343915344,-0.821784090909091,0.5987780040733197,0.2606924643584521,0.008146639511201629,0.4745417515274949,0.25661914460285135,-1.0,-1.0,12.582
R1_BE50,7,7_GJ_Mon_Blitz,24.834615375000002,-0.38923076900000453,4,4,581,OK,589,589,24.445384605999998,0.04150319967062818,1.3552790446312513,0.5483870967741935,0.2887044534365325,-0.2666905188139535,0.1697792869269949,0.01867572156196944,0.003395585738539898,0.9643463497453311,0.013582342954159592,-1.0,-1.0,5.847692307000002
R1_BE50,8,8_AJ_Core1,54.74999999400001,-7.260000000000005,17,29,544,OK,590,590,47.489999994,0.08049152541355932,1.427557201793612,0.5169491525423728,0.5198782201114754,-0.4647399880334728,0.3728813559322034,0.09322033898305085,0.03220338983050847,0.7966101694915254,0.07796610169491526,-1.0,-1.0,4.857142857000001
R1_BE50,9,9_AJ_Core2,62.970000006999996,-14.050000003000008,51,58,231,OK,340,340,48.92000000399999,0.14388235295294113,1.5260026522739256,0.35294117647058826,1.1826944444833336,-0.837867867873874,0.638235294117647,0.23823529411764705,0.06470588235294118,0.3764705882352941,0.3205882352941177,-1.0,-1.0,7.523333334000014
R1_BE50,10,10_AJ_SatA,2.8739999999999983,0.0,0,0,403,OK,403,403,2.8739999999999983,0.0071315136476426755,1.0611541407779386,0.46898263027295284,0.2638624338624339,-0.22167924528301888,0.0,0.01240694789081886,0.15384615384615385,0.8337468982630273,0.0,-1.0,-1.0,7.084
R1_BE50,11,11_AJ_SatB,23.105454530999996,-0.42545454499999735,22,20,361,OK,403,403,22.679999986,0.056277915598014885,1.2941010041708636,0.4441687344913151,0.5575215845307262,-0.4237162837637363,0.3870967741935484,0.062034739454094295,0.034739454094292806,0.7990074441687345,0.10421836228287841,-1.0,-1.0,7.072727275000002
R1_BE50,12,12_UJ_Short_Core,129.353,-18.995000000000005,40,58,448,OK,546,231,110.358,0.20212087912087912,2.2554663147596186,0.47985347985347987,0.7567175572519084,-0.48033879781420763,0.5183150183150184,0.08974358974358974,0.04395604395604396,0.6868131868131868,0.1794871794871795,-1.0,-3.0,4.417999999999992
R1_BE50,13,13_UJ_Fix_MidWeek,19.084210522,-0.07368421099999978,0,1,222,OK,223,133,19.010526311,0.0852489969103139,2.3183444041860826,0.6188340807174888,0.24225019067391304,-0.1716666666904762,0.11659192825112108,0.008968609865470852,0.008968609865470852,0.9775784753363229,0.004484304932735426,-1.0,-0.797894737,1.8926315789999997
R1_BE50,14,14_UJ_Sat_3rd,28.233333342,-6.402222224999999,3,10,60,OK,73,73,21.831111117000003,0.2990563166712329,2.9561927524193554,0.547945205479452,0.8247777779250001,-0.5579999999999999,0.6164383561643836,0.0958904109589041,0.1780821917808219,0.547945205479452,0.1780821917808219,-1.0,-1.0,1.5977777780000002
