Period,Pair,Event,N,MeanAlignedPips,MedianAlignedPips,PositiveRate,CILow,CIHigh,ValidBootstraps
RecentCombined,EURAUD,UP_BREAKOUT,221,2.033936651583732,1.2000000000012,0.5158371040723982,-0.9400833333333212,4.878011113206212,5000
RecentCombined,EURAUD,DOWN_BREAKOUT,221,-1.5502262443437493,-1.5999999999993797,0.47058823529411764,-4.883611246490772,1.6958399930000605,5000
RecentCombined,EURAUD,UP_SWEEP,137,0.8240875912410235,-0.4999999999988347,0.4744525547445255,-2.9209068627450927,4.379375000000159,5000
RecentCombined,EURAUD,DOWN_SWEEP,163,1.4466257668711613,1.4999999999987246,0.5214723926380368,-2.0488875884905076,5.153883452698152,5000
RecentCombined,GBPAUD,UP_BREAKOUT,211,4.580094786729882,3.700000000002035,0.5687203791469194,1.1291087962963553,8.060928419711182,5000
RecentCombined,GBPAUD,DOWN_BREAKOUT,254,0.6133858267715986,-0.20000000000020002,0.4881889763779528,-2.6583421814673467,3.8083068933442297,5000
RecentCombined,GBPAUD,UP_SWEEP,122,-2.645901639344361,-3.0999999999992145,0.4672131147540984,-8.04535322311753,3.0251141304347193,5000
RecentCombined,GBPAUD,DOWN_SWEEP,163,5.075460122699221,2.0999999999982144,0.5460122699386503,0.6444658164550793,9.683486607142687,5000
ALL,USDJPY,UP_BREAKOUT,612,1.2926470588235413,1.099999999999568,0.5424836601307189,-0.30392411493264504,2.7971796940097264,5000
ALL,USDJPY,DOWN_BREAKOUT,501,0.6111776447106181,-0.7999999999995566,0.47105788423153694,-1.0879093858673579,2.3566168357303545,5000
ALL,USDJPY,UP_SWEEP,348,-0.19770114942531256,-0.09999999999976694,0.49712643678160917,-1.9190308417220798,1.5938259740259948,5000
ALL,USDJPY,DOWN_SWEEP,316,0.5196202531644567,0.9499999999995623,0.5189873417721519,-1.3188289921860563,2.3220454039842235,5000
