Group,Method,Period,StrategyNo,Strategy,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,Flag,EligiblePair,WeakMinusStrongAvgR,Aggregation,EligibleStrategies,EligibleIDs
Short,primary,Historical,14,14_UJ_Sat_3rd,JPY_WEAK,20,4.980000002,0.2490000001,2.582627119614963372799780376,0.65,0.6251282052307692307692307692,-0.4495238094285714285714285714,,True,0.1296349207666666666666666667,,,
Short,primary,Historical,14,14_UJ_Sat_3rd,JPY_STRONG,21,2.506666666,0.1193650793333333333333333333,1.597774244579050199589976121,0.6190476190476190476190476190,0.5153846153846153846153846154,-0.52416666675,,True,0.1296349207666666666666666667,,,
Short,primary,Historical,14,14_UJ_Sat_3rd,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,0.1296349207666666666666666667,,,
Short,primary,Historical,15,15_UJ_Sat_Aug,JPY_WEAK,21,6.100,0.2904761904761904761904761905,2.116193961573650503202195791,0.6190476190476190476190476190,0.8896153846153846153846153846,-0.683125,,True,-0.0654761904761904761904761905,,,
Short,primary,Historical,15,15_UJ_Sat_Aug,JPY_STRONG,21,7.475,0.3559523809523809523809523810,1.867672663958212420197330238,0.5238095238095238095238095238,1.462727272727272727272727273,-0.8615,,True,-0.0654761904761904761904761905,,,
Short,primary,Historical,15,15_UJ_Sat_Aug,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,-0.0654761904761904761904761905,,,
Short,primary,Historical,,,JPY_WEAK,782,94.690363636,0.1210874215294117647058823529,1.560030028064791876508984925,0.5537084398976982097186700767,0.6091714372355658198614318707,-0.4872647512593659942363112392,,,0.0050065921669249364656294551,trade_weighted,,
Short,primary,Historical,,,JPY_STRONG,949,110.160707065,0.1160808293624868282402528978,1.462056172833531776858548696,0.5205479452054794520547945205,0.7056170204068825910931174089,-0.5251411916651982378854625551,,,0.0050065921669249364656294551,trade_weighted,,
Short,primary,Historical,,,NEUTRAL_ZERO,0,0,,,,,,,,0.0050065921669249364656294551,trade_weighted,,
Short,primary,Historical,,,JPY_WEAK,,,0.1592405531541049597046548387,,,,,,,0.0110861555704893024402736420,strategy_equal_weighted,7,5|9|10|11|12|14|15
