Period,Method,Scope,Quintile,Trades,TotalTrades,CoveragePct
FULL,primary,9,Q3,60,340,17.647058823529413
FULL,primary,9,Q4,54,340,15.88235294117647
FULL,primary,9,Q5,71,340,20.88235294117647
FULL,primary,9,INSUFFICIENT_VOL_HISTORY,24,340,7.0588235294117645
FULL,primary,10,Q1,87,403,21.588089330024815
FULL,primary,10,Q2,68,403,16.87344913151365
FULL,primary,10,Q3,85,403,21.09181141439206
FULL,primary,10,Q4,58,403,14.392059553349876
FULL,primary,10,Q5,76,403,18.858560794044664
FULL,primary,10,INSUFFICIENT_VOL_HISTORY,29,403,7.196029776674938
FULL,primary,11,Q1,88,403,21.83622828784119
FULL,primary,11,Q2,68,403,16.87344913151365
FULL,primary,11,Q3,85,403,21.09181141439206
FULL,primary,11,Q4,58,403,14.392059553349876
FULL,primary,11,Q5,76,403,18.858560794044664
FULL,primary,11,INSUFFICIENT_VOL_HISTORY,28,403,6.9478908188585615
FULL,primary,12,Q1,150,546,27.472527472527474
FULL,primary,12,Q2,87,546,15.934065934065933
FULL,primary,12,Q3,81,546,14.835164835164836
FULL,primary,12,Q4,83,546,15.2014652014652
FULL,primary,12,Q5,102,546,18.681318681318682
FULL,primary,12,INSUFFICIENT_VOL_HISTORY,43,546,7.875457875457875
FULL,primary,13,Q1,62,223,27.802690582959645
FULL,primary,13,Q2,32,223,14.349775784753364
FULL,primary,13,Q3,43,223,19.282511210762333
FULL,primary,13,Q4,27,223,12.10762331838565
FULL,primary,13,Q5,43,223,19.282511210762333
FULL,primary,13,INSUFFICIENT_VOL_HISTORY,16,223,7.174887892376682
FULL,primary,14,Q1,22,73,30.136986301369863
FULL,primary,14,Q2,12,73,16.43835616438356
FULL,primary,14,Q3,10,73,13.698630136986301
